invoice issue date	cost of heating
2019-11	65
2019-12	91
2020-01	128
2020-02	123
2020-03	71
2020-04	22
2020-05	10
2020-06	5
2020-07	7
2020-08	8
2020-09	8
2020-10	24
2020-11	206
2020-12	290
2021-01	445
2021-02	571
2021-03	430
2021-04	167
2021-05	90
2021-06	53
2021-07	77
2021-08	78
2021-09	97
2021-10	138
2021-11	827
2021-12	891
2022-01	1017
2022-02	2000
2022-03	1331
2022-04	443
2022-05	213
2022-06	122
2022-07	90
2022-08	93
2022-09	116
2022-10	155
2022-11	1015
2022-12	1009
2023-01	1173
2023-02	1292
2023-03	1218
2023-04	478
2023-05	253
2023-06	83
2023-07	127
2023-08	128
2023-09	154
2023-10	204
2023-11	1387
2023-12	1316
